// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
1000, 1000, 4.86108e+07, 2.51953, 2.94094;
1000, 2000, 3.88546e+06, 2.14893, 0.898965;
1000, 3000, 636434, 2.1098, 0.439871;
1000, 3100, 573497, 2.10845, 0.436576;
1000, 3200, 494268, 2.1082, 0.433312;
1000, 3300, 438944, 2.1082, 0.433312;
1000, 3400, 390347, 2.09437, 0.433305;
1000, 3500, 303885, 2.09437, 0.433305;
1000, 3600, 281818, 2.09069, 0.417702;
1000, 3700, 252752, 1.63118, 0.417702;
1000, 3800, 216503, 1.62463, 0.417702;
1000, 3900, 206490, 1.62463, 0.305784;
1000, 4000, 170920, 1.62463, 0.305783;
1000, 4100, 142243, 1.57698, 0.30133;
1000, 4200, 113297, 1.57698, 0.30133;
1000, 4300, 103102, 1.57698, 0.289272;
1000, 4400, 99316.9, 1.4695, 0.245306;
1000, 4500, 89505.9, 1.4695, 0.181165;
1000, 4600, 78724.6, 1.43885, 0.181165;
1000, 4700, 74649.6, 1.43885, 0.154068;
1000, 4800, 69803.8, 1.43885, 0.154068;
1000, 4900, 58792.7, 1.43875, 0.154068;
1000, 5000, 53067.2, 1.33927, 0.154056;
1000, 5100, 47924.9, 1.33926, 0.154056;
1000, 5200, 43571.8, 1.33926, 0.154056;
1000, 5300, 38831.1, 1.33926, 0.154056;
1000, 5400, 35629.4, 1.33926, 0.154056;
1000, 5500, 32718.6, 1.33926, 0.0120258;
1000, 5600, 28934.7, 1.33926, 0.0120258;
1000, 5700, 25628.9, 1.33926, 0.0120258;
1000, 5800, 23688.4, 0.284087, 0.0120258;
1000, 5900, 21456.8, 0.284087, 0.0120258;
1000, 6000, 19322.3, 0.284087, 0.0120258;
1000, 6100, 17665.9, 0.284087, 0.0120258;
1000, 6200, 15531.3, 0.284087, 0.0120258;
1000, 6300, 13784.9, 0.284087, 0;
1000, 6400, 12523.6, 0.284087, 0;
1000, 6500, 11740.4, 0.284087, 0;
1000, 6600, 10867.2, 0.284087, 0;
1000, 6700, 10285, 0.284087, 0;
1000, 6800, 9411.82, 0.284087, 0;
1000, 6900, 8531.6, 0.284087, 0;
1000, 7000, 7949.46, 0, 0;
1000, 7100, 7367.31, 0, 0;
1000, 7200, 6681.14, 0, 0;
1000, 7300, 6390.07, 0, 0;
1000, 7400, 5613.88, 0, 0;
1000, 7500, 5128.75, 0, 0;
1000, 7600, 4740.66, 0, 0;
1000, 7700, 4643.63, 0, 0;
1000, 7800, 4449.59, 0, 0;
1000, 7900, 4158.51, 0, 0;
1000, 8000, 3395.85, 0, 0;
1000, 8100, 3007.75, 0, 0;
1000, 8200, 2716.68, 0, 0;
1000, 8300, 2231.56, 0, 0;
1000, 8400, 2231.56, 0, 0;
1000, 8500, 2037.51, 0, 0;
1000, 8600, 1843.46, 0, 0;
1000, 8700, 1455.36, 0, 0;
1000, 8800, 1358.34, 0, 0;
1000, 8900, 1261.31, 0, 0;
1000, 9000, 1261.31, 0, 0;
1000, 9100, 873.217, 0, 0;
1000, 9200, 776.193, 0, 0;
1000, 9300, 776.193, 0, 0;
1000, 9400, 776.193, 0, 0;
1000, 9500, 679.169, 0, 0;
1000, 9600, 388.097, 0, 0;
1000, 9700, 388.097, 0, 0;
1000, 9800, 388.097, 0, 0;
1000, 9900, 291.072, 0, 0;
1000, 10000, 291.072, 0, 0;
2000, 1000, 5.49517e+06, 2.1437, 0.879445;
2000, 2000, 2.69795e+06, 2.13412, 0.875315;
2000, 3000, 623216, 2.1098, 0.439871;
2000, 3100, 566596, 2.10844, 0.436576;
2000, 3200, 487561, 2.1082, 0.433312;
2000, 3300, 432238, 2.1082, 0.433312;
2000, 3400, 383641, 2.09437, 0.433305;
2000, 3500, 303497, 2.09437, 0.433305;
2000, 3600, 281430, 2.09069, 0.417702;
2000, 3700, 252364, 1.63118, 0.417702;
